scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,71,0.1411530815109344,0.8873239436619719,0.38028169014084506,0.42857142857142855
all_three_share_top,negotiation,410,0.8151093439363817,0.6707317073170732,0.2804878048780488,0.41818181818181815
all_three_share_top,stalled_coordination_failure,22,0.0437375745526839,0.045454545454545456,0.045454545454545456,1.0
only_prof_1_prof_2_share_top,instant_decision,187,0.13328581610833928,0.8609625668449198,0.40641711229946526,0.4720496894409938
only_prof_1_prof_2_share_top,negotiation,1164,0.8296507483962936,0.6434707903780069,0.21563573883161513,0.33511348464619495
only_prof_1_prof_2_share_top,stalled_coordination_failure,52,0.03706343549536707,0.09615384615384616,0.038461538461538464,0.4
only_prof_1_prof_3_share_top,instant_decision,149,0.11102831594634874,0.8993288590604027,0.3087248322147651,0.34328358208955223
only_prof_1_prof_3_share_top,negotiation,1154,0.8599105812220567,0.6559792027729636,0.21837088388214904,0.332892998678996
only_prof_1_prof_3_share_top,stalled_coordination_failure,39,0.029061102831594635,0.07692307692307693,0.02564102564102564,0.3333333333333333
only_prof_2_prof_3_share_top,instant_decision,163,0.1264546159813809,0.9079754601226994,0.294478527607362,0.32432432432432434
only_prof_2_prof_3_share_top,negotiation,1080,0.8378588052754073,0.6314814814814815,0.18888888888888888,0.2991202346041056
only_prof_2_prof_3_share_top,stalled_coordination_failure,46,0.035686578743211794,0.06521739130434782,0.021739130434782608,0.3333333333333333
no_pair_shares_top,instant_decision,316,0.12111920275967804,0.8987341772151899,0.29430379746835444,0.3274647887323944
no_pair_shares_top,negotiation,2210,0.8470678420850901,0.651131221719457,0.17963800904977376,0.2758860319666435
no_pair_shares_top,stalled_coordination_failure,83,0.03181295515523189,0.07228915662650602,0.03614457831325301,0.5
multi_pair_without_all_three_common_top,instant_decision,13,0.13,0.8461538461538461,0.23076923076923078,0.2727272727272727
multi_pair_without_all_three_common_top,negotiation,82,0.82,0.6463414634146342,0.1951219512195122,0.3018867924528302
multi_pair_without_all_three_common_top,stalled_coordination_failure,5,0.05,0.0,0.0,
