scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,503,0.06941760971570522,"instant_decision=71, negotiation=410, stalled_coordination_failure=22",0.6739562624254473,0.28429423459244535,0.4218289085545723,0.5611520793871801,256.4373757455268,12.272365805168986
only_prof_1_prof_2_share_top,1403,0.1936240684515595,"instant_decision=187, negotiation=1164, stalled_coordination_failure=52",0.6521739130434783,0.2344975053456878,0.35956284153005463,0.5770389744135604,260.62651461154667,12.40912330719886
only_prof_1_prof_3_share_top,1342,0.18520563069279602,"instant_decision=149, negotiation=1154, stalled_coordination_failure=39",0.6661698956780924,0.22280178837555886,0.3344519015659955,0.5846334335848442,269.25409836065575,13.023099850968704
only_prof_2_prof_3_share_top,1289,0.17789125034501793,"instant_decision=163, negotiation=1080, stalled_coordination_failure=46",0.6462373933281613,0.19627618308766487,0.3037214885954382,0.5635323001214144,266.5764158262219,12.702094647013189
no_pair_shares_top,2609,0.3600607231576042,"instant_decision=316, negotiation=2210, stalled_coordination_failure=83",0.6627060176312763,0.18896128784975086,0.2851359167148641,0.5957817586472045,264.6941356841702,12.575699501724799
multi_pair_without_all_three_common_top,100,0.01380071763731714,"instant_decision=13, negotiation=82, stalled_coordination_failure=5",0.64,0.19,0.296875,0.5723507336476125,291.77,14.67
