category,episodes,metric_episodes,metric_coverage,consensus_metric_episodes,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_chosen_student_rank_global_consensus_only
negotiation_like,65,65,1.0,38,0.12307692307692308,0.21052631578947367,0.5043094366236169,2.8421052631578947
proposal_following,54,54,1.0,54,0.2777777777777778,0.2777777777777778,0.8742158696256765,2.7222222222222223
thin_candidate_discussion,50,50,1.0,24,0.12,0.25,0.41806604441530476,2.6666666666666665
instant_consensus,30,26,0.8666666666666667,26,0.4230769230769231,0.4230769230769231,0.9288700894508615,2.1153846153846154
coordination_theater,18,18,1.0,9,0.1111111111111111,0.2222222222222222,0.43738221904023733,2.7777777777777777
stalled_waiting_loop,14,14,1.0,2,0.07142857142857142,0.5,0.12525879917184266,2.5
execution_breakdown,1,1,1.0,0,0.0,,0.0,
