scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,9,0.09,"instant_decision=3, negotiation=6",0.7777777777777778,0.5555555555555556,0.7142857142857143,0.7464781335749078,179.11111111111111,9.0
only_prof_1_prof_2_share_top,18,0.18,"instant_decision=7, negotiation=11",0.8888888888888888,0.4444444444444444,0.5,0.8319458594139185,126.11111111111111,7.277777777777778
only_prof_1_prof_3_share_top,21,0.21,"instant_decision=3, negotiation=18",1.0,0.47619047619047616,0.47619047619047616,0.9429804213254241,147.61904761904762,8.0
only_prof_2_prof_3_share_top,17,0.17,"instant_decision=6, negotiation=11",1.0,0.4117647058823529,0.4117647058823529,0.8838486590808572,100.58823529411765,5.470588235294118
no_pair_shares_top,35,0.35,"instant_decision=11, negotiation=24",0.8571428571428571,0.45714285714285713,0.5333333333333333,0.8127232056393722,137.97142857142856,7.6
