scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,36,0.972972972972973,1.0,0.9444444444444444,0.9444444444444444
all_three_share_top,negotiation,1,0.02702702702702703,1.0,1.0,1.0
only_prof_1_prof_2_share_top,instant_decision,111,0.8809523809523809,1.0,0.8108108108108109,0.8108108108108109
only_prof_1_prof_2_share_top,negotiation,15,0.11904761904761904,0.9333333333333333,0.2,0.21428571428571427
only_prof_1_prof_3_share_top,instant_decision,81,0.5192307692307693,1.0,0.7407407407407407,0.7407407407407407
only_prof_1_prof_3_share_top,negotiation,74,0.47435897435897434,0.9459459459459459,0.5540540540540541,0.5857142857142857
only_prof_1_prof_3_share_top,stalled_coordination_failure,1,0.00641025641025641,0.0,0.0,
only_prof_2_prof_3_share_top,instant_decision,54,0.4462809917355372,1.0,0.37037037037037035,0.37037037037037035
only_prof_2_prof_3_share_top,negotiation,67,0.5537190082644629,1.0,0.746268656716418,0.746268656716418
no_pair_shares_top,instant_decision,147,0.5268817204301075,0.9455782312925171,0.4217687074829932,0.4460431654676259
no_pair_shares_top,negotiation,132,0.4731182795698925,0.8560606060606061,0.3560606060606061,0.415929203539823
multi_pair_without_all_three_common_top,instant_decision,6,0.6666666666666666,1.0,0.5,0.5
multi_pair_without_all_three_common_top,negotiation,3,0.3333333333333333,1.0,0.0,0.0
