scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,37,0.050824175824175824,"instant_decision=36, negotiation=1",1.0,0.9459459459459459,0.9459459459459459,0.9840857340857341,54.54054054054054,1.9189189189189189
only_prof_1_prof_2_share_top,126,0.17307692307692307,"instant_decision=111, negotiation=15",0.9920634920634921,0.7380952380952381,0.744,0.9703299916493093,63.45238095238095,2.3015873015873014
only_prof_1_prof_3_share_top,156,0.21428571428571427,"instant_decision=81, negotiation=74, stalled_coordination_failure=1",0.967948717948718,0.6474358974358975,0.6688741721854304,0.9283054226462698,103.64102564102564,3.019230769230769
only_prof_2_prof_3_share_top,121,0.1662087912087912,"instant_decision=54, negotiation=67",1.0,0.5785123966942148,0.5785123966942148,0.9445389031257894,87.39669421487604,2.669421487603306
no_pair_shares_top,279,0.38324175824175827,"instant_decision=147, negotiation=132",0.9032258064516129,0.3906810035842294,0.43253968253968256,0.8486457481989691,143.36200716845877,3.1577060931899643
multi_pair_without_all_three_common_top,9,0.012362637362637362,"instant_decision=6, negotiation=3",1.0,0.3333333333333333,0.3333333333333333,0.9156523005554695,72.55555555555556,2.2222222222222223
