category,episodes,metric_episodes,metric_coverage,consensus_metric_episodes,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_chosen_student_rank_global_consensus_only
instant_consensus,467,191,0.4089935760171306,174,0.39267015706806285,0.43103448275862066,0.8477386115006948,1.9942528735632183
proposal_following,109,54,0.4954128440366973,54,0.4074074074074074,0.4074074074074074,0.9261756975567176,2.0925925925925926
thin_candidate_discussion,66,66,1.0,26,0.15151515151515152,0.38461538461538464,0.3665671983125229,1.8461538461538463
coordination_theater,41,33,0.8048780487804879,30,0.2727272727272727,0.3,0.8376772770757919,2.3
stalled_waiting_loop,31,8,0.25806451612903225,6,0.5,0.6666666666666666,0.719137717121588,1.5
execution_breakdown,1,0,0.0,0,,,,
negotiation_like,1,1,1.0,1,0.0,0.0,0.8676470588235294,2.0
