category,episodes,percent,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_chosen_student_rank_global_consensus_only,avg_tokens_used,avg_total_turns
negotiation,56,0.56,0.7857142857142857,0.5357142857142857,0.6818181818181818,0.7620414615542005,1.5227272727272727,72.75,3.0357142857142856
instant_decision,44,0.44,1.0,0.75,0.75,0.9773363193874054,1.3409090909090908,24.75,2.1136363636363638
