category,episodes,percent,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_chosen_student_rank_global_consensus_only,avg_tokens_used,avg_total_turns
negotiation,84,0.84,0.9523809523809523,0.5595238095238095,0.5875,0.9272332993866157,1.65,246.61904761904762,10.821428571428571
instant_decision,16,0.16,1.0,0.75,0.75,0.9874654603403438,1.3125,37.1875,2.0625
