experiment,scenario,count,probability
baseline_random_permutation,all_three_share_top,3711,0.03711
baseline_random_permutation,only_prof_1_prof_2_share_top,14116,0.14116
baseline_random_permutation,only_prof_1_prof_3_share_top,14229,0.14229
baseline_random_permutation,only_prof_2_prof_3_share_top,14235,0.14235
baseline_random_permutation,no_pair_shares_top,53117,0.53117
baseline_random_permutation,multi_pair_without_all_three_common_top,592,0.00592
baseline_random_permutation,malformed_or_missing_preferences,0,0.0
direct_distinct_top_feature,all_three_share_top,628,0.00628
direct_distinct_top_feature,only_prof_1_prof_2_share_top,8733,0.08733
direct_distinct_top_feature,only_prof_1_prof_3_share_top,8851,0.08851
direct_distinct_top_feature,only_prof_2_prof_3_share_top,8727,0.08727
direct_distinct_top_feature,no_pair_shares_top,72791,0.72791
direct_distinct_top_feature,multi_pair_without_all_three_common_top,270,0.0027
direct_distinct_top_feature,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_3,all_three_share_top,410,0.0041
rejection_corr_le_0_3,only_prof_1_prof_2_share_top,8692,0.08692
rejection_corr_le_0_3,only_prof_1_prof_3_share_top,8537,0.08537
rejection_corr_le_0_3,only_prof_2_prof_3_share_top,8563,0.08563
rejection_corr_le_0_3,no_pair_shares_top,73559,0.73559
rejection_corr_le_0_3,multi_pair_without_all_three_common_top,239,0.00239
rejection_corr_le_0_3,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_0,all_three_share_top,48,0.00048
rejection_corr_le_0_0,only_prof_1_prof_2_share_top,4943,0.04943
rejection_corr_le_0_0,only_prof_1_prof_3_share_top,5035,0.05035
rejection_corr_le_0_0,only_prof_2_prof_3_share_top,5050,0.0505
rejection_corr_le_0_0,no_pair_shares_top,84828,0.84828
rejection_corr_le_0_0,multi_pair_without_all_three_common_top,96,0.00096
rejection_corr_le_0_0,malformed_or_missing_preferences,0,0.0
rejection_corr_le_neg_0_1,all_three_share_top,16,0.00016
rejection_corr_le_neg_0_1,only_prof_1_prof_2_share_top,3279,0.03279
rejection_corr_le_neg_0_1,only_prof_1_prof_3_share_top,3243,0.03243
rejection_corr_le_neg_0_1,only_prof_2_prof_3_share_top,3221,0.03221
rejection_corr_le_neg_0_1,no_pair_shares_top,90199,0.90199
rejection_corr_le_neg_0_1,multi_pair_without_all_three_common_top,42,0.00042
rejection_corr_le_neg_0_1,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_0_distinct_top,all_three_share_top,51,0.00051
rejection_corr_le_0_0_distinct_top,only_prof_1_prof_2_share_top,4408,0.04408
rejection_corr_le_0_0_distinct_top,only_prof_1_prof_3_share_top,4480,0.0448
rejection_corr_le_0_0_distinct_top,only_prof_2_prof_3_share_top,4524,0.04524
rejection_corr_le_0_0_distinct_top,no_pair_shares_top,86453,0.86453
rejection_corr_le_0_0_distinct_top,multi_pair_without_all_three_common_top,84,0.00084
rejection_corr_le_0_0_distinct_top,malformed_or_missing_preferences,0,0.0
