scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,136,0.5112781954887218,1.0,0.8161764705882353,0.8161764705882353
all_three_share_top,negotiation,127,0.4774436090225564,0.9606299212598425,0.6062992125984252,0.6311475409836066
all_three_share_top,stalled_coordination_failure,3,0.011278195488721804,0.0,0.0,
only_prof_1_prof_2_share_top,instant_decision,327,0.5015337423312883,0.9969418960244648,0.6391437308868502,0.6411042944785276
only_prof_1_prof_2_share_top,negotiation,320,0.49079754601226994,0.890625,0.453125,0.5087719298245614
only_prof_1_prof_2_share_top,stalled_coordination_failure,5,0.007668711656441718,0.0,0.0,
only_prof_1_prof_3_share_top,instant_decision,210,0.3322784810126582,0.9904761904761905,0.5333333333333333,0.5384615384615384
only_prof_1_prof_3_share_top,negotiation,409,0.6471518987341772,0.843520782396088,0.43765281173594134,0.518840579710145
only_prof_1_prof_3_share_top,stalled_coordination_failure,13,0.020569620253164556,0.0,0.0,
only_prof_2_prof_3_share_top,instant_decision,170,0.26604068857589985,0.9647058823529412,0.2823529411764706,0.2926829268292683
only_prof_2_prof_3_share_top,negotiation,450,0.704225352112676,0.8933333333333333,0.43333333333333335,0.48507462686567165
only_prof_2_prof_3_share_top,stalled_coordination_failure,19,0.0297339593114241,0.10526315789473684,0.10526315789473684,1.0
no_pair_shares_top,instant_decision,401,0.31850675138999207,0.9850374064837906,0.3740648379052369,0.379746835443038
no_pair_shares_top,negotiation,833,0.6616362192216044,0.7791116446578632,0.297719087635054,0.38212634822804314
no_pair_shares_top,stalled_coordination_failure,25,0.019857029388403495,0.04,0.0,0.0
multi_pair_without_all_three_common_top,instant_decision,27,0.48214285714285715,1.0,0.48148148148148145,0.48148148148148145
multi_pair_without_all_three_common_top,negotiation,28,0.5,0.8928571428571429,0.21428571428571427,0.24
multi_pair_without_all_three_common_top,stalled_coordination_failure,1,0.017857142857142856,0.0,0.0,
