scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,11,0.23404255319148937,1.0,0.5454545454545454,0.5454545454545454
all_three_share_top,negotiation,33,0.7021276595744681,0.7272727272727273,0.24242424242424243,0.3333333333333333
all_three_share_top,stalled_coordination_failure,3,0.06382978723404255,0.3333333333333333,0.0,0.0
only_prof_1_prof_2_share_top,instant_decision,148,0.15711252653927812,1.0,0.41216216216216217,0.41216216216216217
only_prof_1_prof_2_share_top,negotiation,753,0.7993630573248408,0.6746347941567065,0.19787516600265603,0.2933070866141732
only_prof_1_prof_2_share_top,stalled_coordination_failure,41,0.0435244161358811,0.12195121951219512,0.0,0.0
only_prof_1_prof_3_share_top,instant_decision,163,0.16769547325102882,0.9938650306748467,0.27607361963190186,0.2777777777777778
only_prof_1_prof_3_share_top,negotiation,781,0.8034979423868313,0.6645326504481434,0.18950064020486557,0.28516377649325625
only_prof_1_prof_3_share_top,stalled_coordination_failure,28,0.02880658436213992,0.07142857142857142,0.0,0.0
only_prof_2_prof_3_share_top,instant_decision,155,0.16332982086406744,0.9741935483870968,0.23870967741935484,0.24503311258278146
only_prof_2_prof_3_share_top,negotiation,758,0.7987355110642782,0.662269129287599,0.17282321899736147,0.26095617529880477
only_prof_2_prof_3_share_top,stalled_coordination_failure,36,0.037934668071654375,0.05555555555555555,0.0,0.0
no_pair_shares_top,instant_decision,726,0.13876146788990826,0.9958677685950413,0.2741046831955923,0.2752420470262794
no_pair_shares_top,negotiation,4351,0.8316131498470948,0.6639852907377615,0.17053550907837278,0.2568362755278643
no_pair_shares_top,stalled_coordination_failure,155,0.029625382262996942,0.07741935483870968,0.03225806451612903,0.4166666666666667
multi_pair_without_all_three_common_top,instant_decision,8,0.13793103448275862,1.0,0.375,0.375
multi_pair_without_all_three_common_top,negotiation,45,0.7758620689655172,0.6,0.1111111111111111,0.18518518518518517
multi_pair_without_all_three_common_top,stalled_coordination_failure,5,0.08620689655172414,0.2,0.2,1.0
