scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,47,0.005731707317073171,"instant_decision=11, negotiation=33, stalled_coordination_failure=3",0.7659574468085106,0.2978723404255319,0.3888888888888889,0.6384244927358859,263.9574468085106,13.042553191489361
only_prof_1_prof_2_share_top,942,0.11487804878048781,"instant_decision=148, negotiation=753, stalled_coordination_failure=41",0.7016985138004246,0.2229299363057325,0.3177004538577912,0.6409944701046246,259.7791932059448,12.399150743099788
only_prof_1_prof_3_share_top,972,0.11853658536585365,"instant_decision=163, negotiation=781, stalled_coordination_failure=28",0.7026748971193416,0.19855967078189302,0.28257686676427524,0.6340933064433953,256.51234567901236,11.97119341563786
only_prof_2_prof_3_share_top,949,0.11573170731707318,"instant_decision=155, negotiation=758, stalled_coordination_failure=36",0.690200210748156,0.17702845100105374,0.2564885496183206,0.619916501027618,266.3298208640674,12.02950474183351
no_pair_shares_top,5232,0.6380487804878049,"instant_decision=726, negotiation=4351, stalled_coordination_failure=155",0.6926605504587156,0.18081039755351683,0.261037527593819,0.6345479519509964,271.24751529051986,12.405963302752294
multi_pair_without_all_three_common_top,58,0.007073170731707317,"instant_decision=8, negotiation=45, stalled_coordination_failure=5",0.6206896551724138,0.15517241379310345,0.25,0.5797801548191337,279.6551724137931,13.224137931034482
