scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,71,0.9726027397260274,1.0,0.9154929577464789,0.9154929577464789
all_three_share_top,negotiation,2,0.0273972602739726,1.0,1.0,1.0
only_prof_1_prof_2_share_top,instant_decision,148,0.9548387096774194,1.0,0.7432432432432432,0.7432432432432432
only_prof_1_prof_2_share_top,negotiation,7,0.04516129032258064,1.0,0.8571428571428571,0.8571428571428571
only_prof_1_prof_3_share_top,instant_decision,102,0.7132867132867133,1.0,0.8725490196078431,0.8725490196078431
only_prof_1_prof_3_share_top,negotiation,41,0.2867132867132867,1.0,0.6097560975609756,0.6097560975609756
only_prof_2_prof_3_share_top,instant_decision,107,0.7181208053691275,1.0,0.35514018691588783,0.35514018691588783
only_prof_2_prof_3_share_top,negotiation,42,0.28187919463087246,1.0,0.6428571428571429,0.6428571428571429
no_pair_shares_top,instant_decision,206,0.6959459459459459,0.9902912621359223,0.32524271844660196,0.3284313725490196
no_pair_shares_top,negotiation,90,0.30405405405405406,0.7888888888888889,0.3333333333333333,0.4225352112676056
multi_pair_without_all_three_common_top,instant_decision,9,0.9,1.0,0.2222222222222222,0.2222222222222222
multi_pair_without_all_three_common_top,negotiation,1,0.1,1.0,1.0,1.0
