scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,73,0.08837772397094432,"instant_decision=71, negotiation=2",1.0,0.9178082191780822,0.9178082191780822,0.989783457699528,36.273972602739725,1.9315068493150684
only_prof_1_prof_2_share_top,155,0.18765133171912832,"instant_decision=148, negotiation=7",1.0,0.7483870967741936,0.7483870967741936,0.9821850553957762,34.251612903225805,1.9935483870967743
only_prof_1_prof_3_share_top,143,0.17312348668280872,"instant_decision=102, negotiation=41",1.0,0.7972027972027972,0.7972027972027972,0.9844505232272105,46.9020979020979,2.3076923076923075
only_prof_2_prof_3_share_top,149,0.18038740920096852,"instant_decision=107, negotiation=42",1.0,0.436241610738255,0.436241610738255,0.9188521488444836,46.328859060402685,2.3087248322147653
no_pair_shares_top,296,0.3583535108958838,"instant_decision=206, negotiation=90",0.9290540540540541,0.3277027027027027,0.3527272727272727,0.8593007559472349,76.89189189189189,2.4662162162162162
multi_pair_without_all_three_common_top,10,0.012106537530266344,"instant_decision=9, negotiation=1",1.0,0.3,0.3,0.9554130237358434,33.5,1.8
