scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,67,0.06646825396825397,"instant_decision=56, negotiation=11",0.9850746268656716,0.5970149253731343,0.6060606060606061,0.8780461232055634,94.58208955223881,2.388059701492537
only_prof_1_prof_2_share_top,157,0.15575396825396826,"instant_decision=132, negotiation=25",0.9681528662420382,0.6114649681528662,0.631578947368421,0.922522410638684,89.6624203821656,2.3694267515923566
only_prof_1_prof_3_share_top,192,0.19047619047619047,"instant_decision=133, negotiation=59",0.9947916666666666,0.4947916666666667,0.4973821989528796,0.9232910592747406,95.97916666666667,2.4427083333333335
only_prof_2_prof_3_share_top,194,0.19246031746031747,"instant_decision=112, negotiation=82",0.9948453608247423,0.30412371134020616,0.30569948186528495,0.8922698726929837,101.03092783505154,2.6082474226804124
no_pair_shares_top,382,0.37896825396825395,"instant_decision=232, negotiation=150",0.9554973821989529,0.33507853403141363,0.3506849315068493,0.8834980051918103,100.96596858638743,2.573298429319372
multi_pair_without_all_three_common_top,16,0.015873015873015872,"instant_decision=13, negotiation=3",1.0,0.4375,0.4375,0.955880596988615,98.25,2.5
