scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,24,0.03337969401947149,"instant_decision=17, negotiation=7",1.0,0.75,0.75,0.9734336994002554,105.33333333333333,2.1666666666666665
only_prof_1_prof_2_share_top,100,0.13908205841446453,"instant_decision=56, negotiation=44",1.0,0.52,0.52,0.9450945073764633,130.29,2.67
only_prof_1_prof_3_share_top,99,0.1376912378303199,"instant_decision=31, negotiation=68",1.0,0.5252525252525253,0.5252525252525253,0.9393157442171458,141.74747474747474,2.797979797979798
only_prof_2_prof_3_share_top,106,0.1474269819193324,"instant_decision=30, negotiation=76",0.9905660377358491,0.5188679245283019,0.5238095238095238,0.9308091873800801,155.79245283018867,3.1792452830188678
no_pair_shares_top,386,0.5368567454798331,"instant_decision=113, negotiation=273",0.9689119170984456,0.3549222797927461,0.3663101604278075,0.9006411416525452,177.30310880829015,3.1761658031088085
multi_pair_without_all_three_common_top,4,0.005563282336578581,"instant_decision=3, negotiation=1",1.0,0.75,0.75,0.99375,182.5,2.25
