scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,17,0.7083333333333334,1.0,0.7647058823529411,0.7647058823529411
all_three_share_top,negotiation,7,0.2916666666666667,1.0,0.7142857142857143,0.7142857142857143
only_prof_1_prof_2_share_top,instant_decision,56,0.56,1.0,0.6428571428571429,0.6428571428571429
only_prof_1_prof_2_share_top,negotiation,44,0.44,1.0,0.36363636363636365,0.36363636363636365
only_prof_1_prof_3_share_top,instant_decision,31,0.31313131313131315,1.0,0.6129032258064516,0.6129032258064516
only_prof_1_prof_3_share_top,negotiation,68,0.6868686868686869,1.0,0.4852941176470588,0.4852941176470588
only_prof_2_prof_3_share_top,instant_decision,30,0.2830188679245283,0.9666666666666667,0.6333333333333333,0.6551724137931034
only_prof_2_prof_3_share_top,negotiation,76,0.7169811320754716,1.0,0.47368421052631576,0.47368421052631576
no_pair_shares_top,instant_decision,113,0.2927461139896373,0.9734513274336283,0.3805309734513274,0.39090909090909093
no_pair_shares_top,negotiation,273,0.7072538860103627,0.967032967032967,0.3443223443223443,0.3560606060606061
multi_pair_without_all_three_common_top,instant_decision,3,0.75,1.0,0.6666666666666666,0.6666666666666666
multi_pair_without_all_three_common_top,negotiation,1,0.25,1.0,1.0,1.0
