scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,160,0.547945205479452,1.0,0.74375,0.74375
all_three_share_top,negotiation,130,0.4452054794520548,0.9846153846153847,0.6846153846153846,0.6953125
all_three_share_top,stalled_coordination_failure,2,0.00684931506849315,0.0,0.0,
only_prof_1_prof_2_share_top,instant_decision,350,0.5359877488514548,0.9971428571428571,0.6457142857142857,0.6475644699140402
only_prof_1_prof_2_share_top,negotiation,293,0.44869831546707506,0.89419795221843,0.49146757679180886,0.549618320610687
only_prof_1_prof_2_share_top,stalled_coordination_failure,10,0.015313935681470138,0.1,0.1,1.0
only_prof_1_prof_3_share_top,instant_decision,189,0.3,1.0,0.656084656084656,0.656084656084656
only_prof_1_prof_3_share_top,negotiation,426,0.6761904761904762,0.8732394366197183,0.42488262910798125,0.48655913978494625
only_prof_1_prof_3_share_top,stalled_coordination_failure,15,0.023809523809523808,0.0,0.0,
only_prof_2_prof_3_share_top,instant_decision,226,0.3398496240601504,0.995575221238938,0.29646017699115046,0.29777777777777775
only_prof_2_prof_3_share_top,negotiation,421,0.6330827067669172,0.8408551068883611,0.40380047505938244,0.480225988700565
only_prof_2_prof_3_share_top,stalled_coordination_failure,18,0.02706766917293233,0.1111111111111111,0.05555555555555555,0.5
no_pair_shares_top,instant_decision,408,0.31530139103554866,0.9901960784313726,0.37254901960784315,0.37623762376237624
no_pair_shares_top,negotiation,860,0.6646058732612056,0.7674418604651163,0.2709302325581395,0.353030303030303
no_pair_shares_top,stalled_coordination_failure,26,0.02009273570324575,0.07692307692307693,0.0,0.0
multi_pair_without_all_three_common_top,instant_decision,18,0.35294117647058826,1.0,0.4444444444444444,0.4444444444444444
multi_pair_without_all_three_common_top,negotiation,33,0.6470588235294118,0.9090909090909091,0.3333333333333333,0.36666666666666664
