scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,292,0.08145048814504881,"instant_decision=160, negotiation=130, stalled_coordination_failure=2",0.9863013698630136,0.7123287671232876,0.7222222222222222,0.9198553246354841,79.86986301369863,4.113013698630137
only_prof_1_prof_2_share_top,653,0.1821478382147838,"instant_decision=350, negotiation=293, stalled_coordination_failure=10",0.9372128637059725,0.5681470137825421,0.6062091503267973,0.8889385985933055,107.74578866768759,5.523736600306279
only_prof_1_prof_3_share_top,630,0.17573221757322174,"instant_decision=189, negotiation=426, stalled_coordination_failure=15",0.8904761904761904,0.48412698412698413,0.5436720142602496,0.8315221989037794,161.05555555555554,7.303174603174603
only_prof_2_prof_3_share_top,665,0.18549511854951187,"instant_decision=226, negotiation=421, stalled_coordination_failure=18",0.8736842105263158,0.35789473684210527,0.40963855421686746,0.7994640638185417,166.74736842105264,7.306766917293233
no_pair_shares_top,1294,0.3609483960948396,"instant_decision=408, negotiation=860, stalled_coordination_failure=26",0.8238021638330757,0.2975270479134467,0.3611632270168856,0.7628797271648361,186.45904173106646,8.068006182380216
multi_pair_without_all_three_common_top,51,0.014225941422594143,"instant_decision=18, negotiation=33",0.9411764705882353,0.37254901960784315,0.3958333333333333,0.8685923314940489,131.3921568627451,5.666666666666667
