scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,47,0.1910569105691057,1.0,0.48936170212765956,0.48936170212765956
all_three_share_top,negotiation,190,0.7723577235772358,0.6368421052631579,0.15789473684210525,0.24793388429752067
all_three_share_top,stalled_coordination_failure,9,0.036585365853658534,0.2222222222222222,0.1111111111111111,0.5
only_prof_1_prof_2_share_top,instant_decision,150,0.142721217887726,0.9933333333333333,0.34,0.3422818791946309
only_prof_1_prof_2_share_top,negotiation,858,0.8163653663177926,0.6573426573426573,0.15384615384615385,0.23404255319148937
only_prof_1_prof_2_share_top,stalled_coordination_failure,43,0.04091341579448145,0.16279069767441862,0.023255813953488372,0.14285714285714285
only_prof_1_prof_3_share_top,instant_decision,151,0.14617618586640851,0.9801324503311258,0.26490066225165565,0.2702702702702703
only_prof_1_prof_3_share_top,negotiation,842,0.8151016456921588,0.6935866983372921,0.14251781472684086,0.2054794520547945
only_prof_1_prof_3_share_top,stalled_coordination_failure,40,0.03872216844143272,0.075,0.0,0.0
only_prof_2_prof_3_share_top,instant_decision,139,0.13416988416988418,0.9712230215827338,0.15827338129496402,0.16296296296296298
only_prof_2_prof_3_share_top,malformed_or_other,1,0.0009652509652509653,1.0,0.0,0.0
only_prof_2_prof_3_share_top,negotiation,866,0.8359073359073359,0.6697459584295612,0.12009237875288684,0.1793103448275862
only_prof_2_prof_3_share_top,stalled_coordination_failure,30,0.02895752895752896,0.06666666666666667,0.0,0.0
no_pair_shares_top,instant_decision,519,0.1379218708477279,0.9980732177263969,0.2003853564547206,0.20077220077220076
no_pair_shares_top,negotiation,3134,0.8328461334041988,0.641352903637524,0.11199744735162731,0.1746268656716418
no_pair_shares_top,stalled_coordination_failure,110,0.029231995748073347,0.10909090909090909,0.02727272727272727,0.25
multi_pair_without_all_three_common_top,instant_decision,8,0.20512820512820512,1.0,0.25,0.25
multi_pair_without_all_three_common_top,negotiation,27,0.6923076923076923,0.7037037037037037,0.18518518518518517,0.2631578947368421
multi_pair_without_all_three_common_top,stalled_coordination_failure,4,0.10256410256410256,0.25,0.0,0.0
