scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,246,0.03431919642857143,"instant_decision=47, negotiation=190, stalled_coordination_failure=9",0.6910569105691057,0.21951219512195122,0.3176470588235294,0.5455258825969056,265.3333333333333,12.821138211382113
only_prof_1_prof_2_share_top,1051,0.14662388392857142,"instant_decision=150, negotiation=858, stalled_coordination_failure=43",0.6850618458610847,0.17507136060894388,0.25555555555555554,0.5847265788573497,278.7745004757374,12.709800190294958
only_prof_1_prof_3_share_top,1033,0.14411272321428573,"instant_decision=151, negotiation=842, stalled_coordination_failure=40",0.7115198451113263,0.15488867376573087,0.21768707482993196,0.59775936773872,266.43368828654405,12.371732817037755
only_prof_2_prof_3_share_top,1036,0.14453125,"instant_decision=139, malformed_or_other=1, negotiation=866, stalled_coordination_failure=30",0.693050193050193,0.12162162162162163,0.17548746518105848,0.5816500225980558,274.35714285714283,12.408301158301159
no_pair_shares_top,3763,0.5249720982142857,"instant_decision=519, negotiation=3134, stalled_coordination_failure=110",0.6749933563646027,0.12171140047834175,0.18031496062992125,0.5829360610610134,279.44857826202497,12.729736912038268
multi_pair_without_all_three_common_top,39,0.005440848214285714,"instant_decision=8, negotiation=27, stalled_coordination_failure=4",0.717948717948718,0.1794871794871795,0.25,0.6074660376580591,297.15384615384613,14.948717948717949
