category,episodes,percent,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_chosen_student_rank_global_consensus_only,avg_tokens_used,avg_total_turns
negotiation,5917,0.8254743303571429,0.6553996957917864,0.1254013858374176,0.19133574007220217,0.5571325571240636,4.357142857142857,308.6455974311306,13.699171877640696
instant_decision,1014,0.14146205357142858,0.9911242603550295,0.23865877712031558,0.2407960199004975,0.8541879889368931,4.118407960199005,38.781065088757394,3.1025641025641026
stalled_coordination_failure,236,0.032924107142857144,0.11440677966101695,0.0211864406779661,0.18518518518518517,0.09612463710612276,4.074074074074074,487.3898305084746,27.173728813559322
malformed_or_other,1,0.00013950892857142856,1.0,0.0,0.0,0.7160493827160492,2.0,274.0,15.0
