scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,4,0.6666666666666666,1.0,1.0,1.0
all_three_share_top,negotiation,2,0.3333333333333333,1.0,1.0,1.0
only_prof_1_prof_2_share_top,instant_decision,44,0.6567164179104478,1.0,0.6818181818181818,0.6818181818181818
only_prof_1_prof_2_share_top,negotiation,23,0.34328358208955223,0.9565217391304348,0.17391304347826086,0.18181818181818182
only_prof_1_prof_3_share_top,instant_decision,19,0.30158730158730157,1.0,0.5263157894736842,0.5263157894736842
only_prof_1_prof_3_share_top,negotiation,44,0.6984126984126984,0.9772727272727273,0.5681818181818182,0.5813953488372093
only_prof_2_prof_3_share_top,instant_decision,4,0.0975609756097561,0.75,0.5,0.6666666666666666
only_prof_2_prof_3_share_top,negotiation,37,0.9024390243902439,0.972972972972973,0.5675675675675675,0.5833333333333334
no_pair_shares_top,instant_decision,87,0.24857142857142858,0.9310344827586207,0.3103448275862069,0.3333333333333333
no_pair_shares_top,negotiation,263,0.7514285714285714,0.9011406844106464,0.2737642585551331,0.3037974683544304
multi_pair_without_all_three_common_top,instant_decision,1,0.2,1.0,1.0,1.0
multi_pair_without_all_three_common_top,negotiation,4,0.8,1.0,0.25,0.25
