scenario,episodes,percent,category_counts,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate,avg_social_welfare_efficiency,avg_tokens_used,avg_total_turns
all_three_share_top,6,0.011278195488721804,"instant_decision=4, negotiation=2",1.0,1.0,1.0,1.0,88.83333333333333,2.3333333333333335
only_prof_1_prof_2_share_top,67,0.12593984962406016,"instant_decision=44, negotiation=23",0.9850746268656716,0.5074626865671642,0.5151515151515151,0.9363637435274939,124.11940298507463,2.626865671641791
only_prof_1_prof_3_share_top,63,0.11842105263157894,"instant_decision=19, negotiation=44",0.9841269841269841,0.5555555555555556,0.5645161290322581,0.9571955947102506,147.26984126984127,2.873015873015873
only_prof_2_prof_3_share_top,41,0.07706766917293233,"instant_decision=4, negotiation=37",0.9512195121951219,0.5609756097560976,0.5897435897435898,0.9208627124658573,152.70731707317074,3.317073170731707
no_pair_shares_top,350,0.6578947368421053,"instant_decision=87, negotiation=263",0.9085714285714286,0.28285714285714286,0.3113207547169811,0.8518422074065567,237.31428571428572,3.6085714285714285
multi_pair_without_all_three_common_top,5,0.009398496240601503,"instant_decision=1, negotiation=4",1.0,0.4,0.4,0.9522123015873015,92.2,2.8
