experiment,scenario,count,probability
single,all_three_share_top,2820,0.0282
single,only_prof_1_prof_2_share_top,12424,0.12424
single,only_prof_1_prof_3_share_top,12513,0.12513
single,only_prof_2_prof_3_share_top,12421,0.12421
single,no_pair_shares_top,59451,0.59451
single,multi_pair_without_all_three_common_top,371,0.00371
single,malformed_or_missing_preferences,0,0.0
